code,description,Category,priority
x1,"Meal, Inexpensive Restaurant ",Food/drink,Second
x2,"Meal for 2 People, Mid-range Restaurant, Three-course ",Food/drink,Second
x3,McMeal at McDonalds (or Equivalent Combo Meal) ,Food/drink,Second
x4,"Domestic Beer (0.5 liter draught, in restaurants) ",Alcohol,Second
x5,"Imported Beer (0.33 liter bottle, in restaurants) ",Alcohol,Second
x6,"Cappuccino (regular, in restaurants) ",Food/drink,Second
x7,"Coke/Pepsi (0.33 liter bottle, in restaurants) ",Food/drink,Second
x8,"Water (0.33 liter bottle, in restaurants) ",Food/drink,First
x9,"Milk (regular), (1 liter) ",Food/drink,Second
x10,Loaf of Fresh White Bread (500g) ,Food/drink,First
x11,"Rice (white), (1kg) ",Food/drink,First
x12,Eggs (regular) (12) ,Food/drink,First
x13,Local Cheese (1kg) ,Food/drink,First
x14,Chicken Fillets (1kg) ,Food/drink,First
x15,Beef Round (1kg) (or Equivalent Back Leg Red Meat) ,Food/drink,First
x16,Apples (1kg) ,Food/drink,First
x17,Banana (1kg) ,Food/drink,First
x18,Oranges (1kg) ,Food/drink,First
x19,Tomato (1kg) ,Food/drink,First
x20,Potato (1kg) ,Food/drink,First
x21,Onion (1kg) ,Food/drink,First
x22,Lettuce (1 head) ,Food/drink,First
x23,"Water (1.5 liter bottle, at the market) ",Food/drink,First
x24,"Bottle of Wine (Mid-Range, at the market) ",Alcohol,Second
x25,"Domestic Beer (0.5 liter bottle, at the market) ",Alcohol,Second
x26,"Imported Beer (0.33 liter bottle, at the market) ",Alcohol,Second
x27,Cigarettes 20 Pack (Marlboro) ,Cigaretes,Second
x28,One-way Ticket (Local Transport) ,Public transport,Second
x29,Monthly Pass (Regular Price) ,Public transport,Second
x30,Taxi Start (Normal Tariff) ,Public transport,Second
x31,Taxi 1km (Normal Tariff) ,Public transport,Second
x32,Taxi 1hour Waiting (Normal Tariff) ,Public transport,Second
x33,Gasoline (1 liter) ,Fuel,Second
x34,Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car) ,Car,Third
x35,Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car) ,Car,Third
x36,"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment ",Bills,First
x37,1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans) ,Bills,Second
x38,"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL) ",Bills,Second
x39,"Fitness Club, Monthly Fee for 1 Adult ",Hobby,Second
x40,Tennis Court Rent (1 Hour on Weekend) ,Hobby,Third
x41,"Cinema, International Release, 1 Seat ",Entertainment,Second
x42,"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child ",Education,Second
x43,"International Primary School, Yearly for 1 Child ",Education,Second
x44,1 Pair of Jeans (Levis 501 Or Similar) ,Clothes,Second
x45,"1 Summer Dress in a Chain Store (Zara, H&M, ﾅ) ",Clothes,Second
x46,1 Pair of Nike Running Shoes (Mid-Range) ,Clothes,Second
x47,1 Pair of Men Leather Business Shoes ,Clothes,Third
x48,Apartment (1 bedroom) in City Centre ,Real estate,Second
x49,Apartment (1 bedroom) Outside of Centre ,Real estate,Second
x50,Apartment (3 bedrooms) in City Centre ,Real estate,Third
x51,Apartment (3 bedrooms) Outside of Centre ,Real estate,Third
x52,Price per Square Meter to Buy Apartment in City Centre ,Real estate,Third
x53,Price per Square Meter to Buy Apartment Outside of Centre ,Real estate,Third
x55,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",Mortage interest,Third
